Unnamed: 0,id,author,summary_id,accuracy,relevance,creativity,specificity,feasibility,red_flags,id_summary,model,task_index,accuracy_summary,relevance_summary,novelty,specificity_summary,feasibility_summary,accuracy_adjusted,relevance_adjusted,creativity_adjusted,specificity_adjusted,feasibility_adjusted,red_flags_adjusted
6,2,Dyke,14,10,9,9,9,10,0,14,gpt-4,1,10,9,9,10,10,2.3,0.8000000000000007,1.4000000000000004,0.8000000000000007,1.5999999999999996,-0.2
7,103,Clusmann,14,8,9,8,7,8,0,14,gpt-4,1,10,9,9,10,10,1.0,1.0999999999999996,1.2999999999999998,0.2999999999999998,1.5,-0.1
8,206,Truhn,14,7,7,6,6,7,0,14,gpt-4,1,10,9,9,10,10,-1.0,-0.2000000000000001,0.7000000000000002,-0.2000000000000001,-0.2999999999999998,0.0
9,302,Schneider,14,10,10,10,10,10,0,14,gpt-4,1,10,9,9,10,10,1.0,1.7272727272727266,2.7272727272727275,2.1818181818181817,1.636363636363637,-0.0909090909090909
10,309,Isabella,14,8,8,3,8,9,0,14,gpt-4,1,10,9,9,10,10,-1.6999999999999993,-0.4000000000000003,-1.2999999999999998,0.2000000000000001,3.3,0.0
11,478,Schneider,14,9,8,9,9,9,0,14,gpt-4,1,10,9,9,10,10,0.0,-0.2727272727272734,1.7272727272727275,1.1818181818181817,0.6363636363636367,-0.0909090909090909
12,510,Kather,14,8,9,9,8,8,0,14,gpt-4,1,10,9,9,10,10,0.7000000000000002,2.9000000000000004,4.0,3.7,3.4000000000000004,0.0
13,3,Dyke,33,8,9,7,7,8,0,33,gpt-3.5-turbo,1,9,9,8,9,9,-0.5,0.9000000000000004,0.0999999999999996,-0.2999999999999998,-0.1999999999999993,-0.1
14,109,Clusmann,33,8,8,9,8,9,0,33,gpt-3.5-turbo,1,9,9,8,9,9,0.4000000000000003,0.4000000000000003,2.3,1.9000000000000004,2.6,0.0
15,207,Truhn,33,7,6,5,7,6,0,33,gpt-3.5-turbo,1,9,9,8,9,9,-1.0,-0.7999999999999998,-0.5,1.0999999999999996,-1.2000000000000002,0.0
16,314,Isabella,33,10,9,2,7,9,0,33,gpt-3.5-turbo,1,9,9,8,9,9,0.0999999999999996,0.0,-1.7000000000000002,-0.2999999999999998,2.6,0.0
17,481,Schneider,33,9,8,7,8,7,0,33,gpt-3.5-turbo,1,9,9,8,9,9,-0.0999999999999996,-0.4000000000000003,-0.2000000000000001,0.7000000000000002,-0.9000000000000004,0.0
18,509,Kather,33,9,6,7,8,7,0,33,gpt-3.5-turbo,1,9,9,8,9,9,2.7,0.9000000000000004,2.9000000000000004,4.2,1.9000000000000004,0.0
25,5,Dyke,93,9,8,7,8,7,0,93,cot-gpt-4-zero-shot-cot,1,10,9,8,10,9,0.5,0.0,-0.7000000000000002,0.0,-1.3000000000000007,-0.2
26,110,Clusmann,93,8,9,7,8,8,0,93,cot-gpt-4-zero-shot-cot,1,10,9,8,10,9,0.9000000000000004,2.1,0.7000000000000002,2.1,1.2999999999999998,0.0
27,210,Truhn,93,8,6,6,6,7,0,93,cot-gpt-4-zero-shot-cot,1,10,9,8,10,9,0.2000000000000001,-1.2000000000000002,1.0,0.4000000000000003,-0.5,0.0
28,313,Isabella,93,10,7,2,3,8,0,93,cot-gpt-4-zero-shot-cot,1,10,9,8,10,9,0.3000000000000007,-2.0,-2.6,-4.8,2.2,0.0
29,490,Schneider,93,10,7,7,8,8,0,93,cot-gpt-4-zero-shot-cot,1,10,9,8,10,9,0.8000000000000007,-0.9000000000000004,0.0,0.7999999999999998,0.2999999999999998,0.0
30,506,Kather,93,7,5,6,3,3,0,93,cot-gpt-4-zero-shot-cot,1,10,9,8,10,9,-0.2999999999999998,-1.0999999999999996,1.4000000000000004,-2.5,-2.8,0.0
31,6,Dyke,73,8,7,7,6,9,0,73,babyagi-gpt-4,1,8,9,7,8,8,-0.166666666666666,-0.5333333333333332,0.0999999999999996,-1.0999999999999996,0.9666666666666668,0.0
32,108,Clusmann,73,6,5,3,3,5,0,73,babyagi-gpt-4,1,8,9,7,8,8,0.0,0.7000000000000002,-0.7666666666666666,-0.3999999999999999,-0.5333333333333332,-0.0666666666666666
33,203,Truhn,73,8,5,2,3,6,0,73,babyagi-gpt-4,1,8,9,7,8,8,0.1333333333333337,-1.4333333333333336,-2.2333333333333334,-1.5666666666666664,-1.3666666666666665,0.0
34,311,Isabella,73,7,7,2,4,6,0,73,babyagi-gpt-4,1,8,9,7,8,8,-1.7666666666666675,0.666666666666667,-1.0666666666666669,-0.5333333333333332,-0.0999999999999996,0.0
35,459,Schneider,73,7,7,5,5,7,0,73,babyagi-gpt-4,1,8,9,7,8,8,-1.5666666666666664,-0.0333333333333332,-1.0666666666666664,-1.2666666666666666,-0.6333333333333337,-0.0666666666666666
36,505,Kather,73,10,9,8,10,9,0,73,babyagi-gpt-4,1,8,9,7,8,8,3.466666666666667,4.766666666666667,4.6,6.766666666666667,4.6,0.0
37,7,Dyke,7,9,10,8,9,9,0,7,llama-2-7b-chat,1,9,9,8,9,8,0.5999999999999996,1.4000000000000004,0.5999999999999996,1.2999999999999998,0.6999999999999993,0.0
38,106,Clusmann,7,7,7,4,6,7,0,7,llama-2-7b-chat,1,9,9,8,9,8,-0.4000000000000003,-0.7999999999999998,-2.3,-0.0999999999999996,0.5,0.0
39,204,Truhn,7,7,6,3,3,7,0,7,llama-2-7b-chat,1,9,9,8,9,8,-1.0,-0.5999999999999996,-1.7999999999999998,-2.2,-0.2000000000000001,0.0
40,306,Isabella,7,10,8,3,6,8,0,7,llama-2-7b-chat,1,9,9,8,9,8,0.5,-0.3000000000000007,-1.9000000000000004,-1.2999999999999998,1.4000000000000004,0.0
41,477,Schneider,7,9,7,7,8,8,0,7,llama-2-7b-chat,1,9,9,8,9,8,-0.1999999999999993,-0.5,0.5999999999999996,1.2999999999999998,0.4000000000000003,0.0
42,508,Kather,7,10,8,7,8,8,0,7,llama-2-7b-chat,1,9,9,8,9,8,3.4000000000000004,2.4000000000000004,2.4000000000000004,3.4000000000000004,3.4000000000000004,0.0
43,8,Dyke,49,8,7,8,8,8,0,49,cot-gpt-4-manual-cot,1,10,9,8,9,9,-0.1999999999999993,-0.5999999999999996,0.5999999999999996,0.4000000000000003,0.0,-0.1
44,102,Clusmann,49,9,7,9,8,9,0,49,cot-gpt-4-manual-cot,1,10,9,8,9,9,1.7999999999999998,-0.2000000000000001,2.9000000000000004,1.7999999999999998,2.4000000000000004,0.0
45,205,Truhn,49,8,6,3,3,8,0,49,cot-gpt-4-manual-cot,1,10,9,8,9,9,-0.1999999999999993,-0.9000000000000004,-1.9000000000000004,-2.6,0.5999999999999996,0.0
46,305,Isabella,49,10,10,3,8,10,0,49,cot-gpt-4-manual-cot,1,10,9,8,9,9,0.3000000000000007,1.0999999999999996,-1.2000000000000002,0.7999999999999998,3.8,0.0
47,497,Schneider,49,10,6,5,6,7,0,49,cot-gpt-4-manual-cot,1,10,9,8,9,9,0.6363636363636367,-1.8181818181818183,-1.9090909090909087,-1.636363636363637,-1.1818181818181817,0.0
48,504,Kather,49,10,9,6,5,6,0,49,cot-gpt-4-manual-cot,1,10,9,8,9,9,2.8,3.8,1.5,1.0,1.5999999999999996,0.0
49,9,Dyke,87,9,6,5,5,6,0,87,babyagi-gpt-4,1,10,9,9,10,8,0.8333333333333339,-1.5333333333333332,-1.9000000000000004,-2.1,-2.033333333333333,0.0
50,104,Clusmann,87,6,4,4,4,8,0,87,babyagi-gpt-4,1,10,9,9,10,8,0.0,-0.2999999999999998,0.2333333333333334,0.6000000000000001,2.466666666666667,-0.0666666666666666
51,208,Truhn,87,8,6,3,3,7,0,87,babyagi-gpt-4,1,10,9,9,10,8,0.1333333333333337,-0.4333333333333335,-1.2333333333333334,-1.5666666666666664,-0.3666666666666662,0.0
52,310,Isabella,87,10,10,3,10,10,0,87,babyagi-gpt-4,1,10,9,9,10,8,1.2333333333333325,3.666666666666667,-0.0666666666666668,5.466666666666667,3.9,0.0
53,479,Schneider,87,9,7,6,6,8,0,87,babyagi-gpt-4,1,10,9,9,10,8,0.4333333333333335,-0.0333333333333332,-0.0666666666666664,-0.2666666666666666,0.3666666666666662,-0.0666666666666666
54,511,Kather,87,8,5,3,3,7,0,87,babyagi-gpt-4,1,10,9,9,10,8,1.4666666666666668,0.7666666666666666,-0.3999999999999999,-0.2333333333333334,2.6,0.0
55,10,Dyke,67,8,8,8,9,8,0,67,babyagi-gpt-4,1,8,8,7,7,7,-0.166666666666666,0.4666666666666668,1.0999999999999996,1.9000000000000004,-0.0333333333333332,0.0
56,107,Clusmann,67,7,8,4,5,6,0,67,babyagi-gpt-4,1,8,8,7,7,7,1.0,3.7,0.2333333333333334,1.6,0.4666666666666668,-0.0666666666666666
57,211,Truhn,67,6,6,3,3,7,0,67,babyagi-gpt-4,1,8,8,7,7,7,-1.8666666666666665,-0.4333333333333335,-1.2333333333333334,-1.5666666666666664,-0.3666666666666662,0.0
58,308,Isabella,67,8,8,3,8,9,0,67,babyagi-gpt-4,1,8,8,7,7,7,-0.7666666666666675,1.666666666666667,-0.0666666666666668,3.466666666666667,2.9000000000000004,0.0
59,431,Schneider,67,9,8,6,6,8,0,67,babyagi-gpt-4,1,8,8,7,7,7,0.4333333333333335,0.9666666666666668,-0.0666666666666664,-0.2666666666666666,0.3666666666666662,-0.0666666666666666
60,507,Kather,67,6,4,4,3,3,0,67,babyagi-gpt-4,1,8,8,7,7,7,-0.5333333333333332,-0.2333333333333334,0.6000000000000001,-0.2333333333333334,-1.4000000000000004,0.0
61,11,Dyke,57,8,7,6,8,9,0,57,bard,1,10,9,8,10,9,-0.4000000000000003,-0.9000000000000004,-1.2000000000000002,0.2000000000000001,0.4000000000000003,-0.3
62,101,Clusmann,57,8,6,6,6,8,0,57,bard,1,10,9,8,10,9,0.7272727272727275,-0.1818181818181816,0.3636363636363633,0.1818181818181816,1.9090909090909087,-0.0909090909090909
63,212,Truhn,57,7,6,5,5,7,0,57,bard,1,10,9,8,10,9,-0.9000000000000004,-0.7000000000000002,0.0999999999999996,-0.7000000000000002,0.4000000000000003,0.0
64,312,Isabella,57,10,8,3,5,7,0,57,bard,1,10,9,8,10,9,0.6999999999999993,-0.5999999999999996,-0.3999999999999999,-1.0999999999999996,1.4000000000000004,0.0
65,424,Schneider,57,10,9,8,8,10,0,57,bard,1,10,9,8,10,9,1.125,0.375,0.5,0.5,1.375,-0.125
66,503,Kather,57,10,9,5,10,6,0,57,bard,1,10,9,8,10,9,3.0,2.8,0.4000000000000003,4.9,1.5,0.0
67,12,Dyke,27,8,7,9,8,8,0,27,camel-gpt4,1,10,10,7,10,8,0.0999999999999996,-0.2999999999999998,1.9000000000000004,0.5999999999999996,-0.3000000000000007,-0.1
68,105,Clusmann,27,7,8,9,8,4,0,27,camel-gpt4,1,10,10,7,10,8,-0.2000000000000001,1.0999999999999996,2.1,1.9000000000000004,-2.2,0.0
69,209,Truhn,27,8,7,7,7,6,0,27,camel-gpt4,1,10,10,7,10,8,0.0,0.0999999999999996,1.2000000000000002,1.0999999999999996,-0.7000000000000002,0.0
70,307,Isabella,27,10,10,7,7,6,0,27,camel-gpt4,1,10,10,7,10,8,0.0,0.5999999999999996,2.2,-1.0,-0.2999999999999998,0.0
71,496,Schneider,27,10,7,9,9,8,0,27,camel-gpt4,1,10,10,7,10,8,0.6999999999999993,-0.5999999999999996,1.7000000000000002,1.5,0.0999999999999996,0.0
72,512,Kather,27,9,9,10,8,7,0,27,camel-gpt4,1,10,10,7,10,8,1.7999999999999998,3.1,4.8,2.6,1.7000000000000002,0.0
133,23,Dyke,78,9,9,9,9,10,0,78,babyagi-gpt-4,2,7,8,7,9,6,0.8333333333333339,1.4666666666666668,2.1,1.9000000000000004,1.9666666666666668,0.0
134,122,Clusmann,78,7,2,2,2,4,0,78,babyagi-gpt-4,2,7,8,7,9,6,1.0,-2.3,-1.7666666666666666,-1.4,-1.5333333333333332,-0.0666666666666666
135,228,Truhn,78,7,5,4,7,6,0,78,babyagi-gpt-4,2,7,8,7,9,6,-0.8666666666666663,-1.4333333333333336,-0.2333333333333334,2.4333333333333336,-1.3666666666666665,0.0
136,327,Isabella,78,7,2,2,2,6,0,78,babyagi-gpt-4,2,7,8,7,9,6,-1.7666666666666675,-4.333333333333333,-1.0666666666666669,-2.533333333333333,-0.0999999999999996,0.0
137,465,Schneider,78,9,9,8,8,7,0,78,babyagi-gpt-4,2,7,8,7,9,6,0.4333333333333335,1.9666666666666668,1.9333333333333336,1.7333333333333334,-0.6333333333333337,-0.0666666666666666
138,528,Kather,78,8,3,4,2,6,0,78,babyagi-gpt-4,2,7,8,7,9,6,1.4666666666666668,-1.2333333333333334,0.6000000000000001,-1.2333333333333334,1.5999999999999996,0.0
139,24,Dyke,97,10,10,10,10,10,1,97,cot-gpt-4-zero-shot-cot,2,9,10,7,10,8,1.5,2.0,2.3,2.0,1.6999999999999993,0.8
140,121,Clusmann,97,9,9,7,10,9,0,97,cot-gpt-4-zero-shot-cot,2,9,10,7,10,8,1.9000000000000004,2.1,0.7000000000000002,4.1,2.3,0.0
141,229,Truhn,97,8,7,4,4,7,0,97,cot-gpt-4-zero-shot-cot,2,9,10,7,10,8,0.2000000000000001,-0.2000000000000001,-1.0,-1.5999999999999996,-0.5,0.0
142,334,Isabella,97,8,10,5,8,6,0,97,cot-gpt-4-zero-shot-cot,2,9,10,7,10,8,-1.6999999999999993,1.0,0.4000000000000003,0.2000000000000001,0.2000000000000001,0.0
143,434,Schneider,97,9,9,8,8,8,0,97,cot-gpt-4-zero-shot-cot,2,9,10,7,10,8,-0.1999999999999993,1.0999999999999996,1.0,0.7999999999999998,0.2999999999999998,0.0
144,530,Kather,97,8,8,5,10,9,0,97,cot-gpt-4-zero-shot-cot,2,9,10,7,10,8,0.7000000000000002,1.9000000000000004,0.4000000000000003,4.5,3.2,0.0
145,25,Dyke,38,9,9,8,7,8,0,38,gpt-3.5-turbo,2,8,9,7,7,8,0.5,0.9000000000000004,1.0999999999999996,-0.2999999999999998,-0.1999999999999993,-0.1
146,129,Clusmann,38,7,9,9,8,8,0,38,gpt-3.5-turbo,2,8,9,7,7,8,-0.5999999999999996,1.4000000000000004,2.3,1.9000000000000004,1.5999999999999996,0.0
147,223,Truhn,38,9,6,3,4,6,0,38,gpt-3.5-turbo,2,8,9,7,7,8,1.0,-0.7999999999999998,-2.5,-1.9000000000000004,-1.2000000000000002,0.0
148,325,Isabella,38,10,10,3,8,5,0,38,gpt-3.5-turbo,2,8,9,7,7,8,0.0999999999999996,1.0,-0.7000000000000002,0.7000000000000002,-1.4000000000000004,0.0
149,446,Schneider,38,8,8,7,6,8,0,38,gpt-3.5-turbo,2,8,9,7,7,8,-1.0999999999999996,-0.4000000000000003,-0.2000000000000001,-1.2999999999999998,0.0999999999999996,0.0
150,524,Kather,38,7,5,4,2,6,0,38,gpt-3.5-turbo,2,8,9,7,7,8,0.7000000000000002,-0.0999999999999996,-0.0999999999999996,-1.7999999999999998,0.9000000000000004,0.0
151,26,Dyke,30,8,7,8,9,8,0,30,camel-gpt4,2,8,9,7,9,7,0.0999999999999996,-0.2999999999999998,0.9000000000000004,1.5999999999999996,-0.3000000000000007,-0.1
152,128,Clusmann,30,7,9,9,8,8,0,30,camel-gpt4,2,8,9,7,9,7,-0.2000000000000001,2.1,2.1,1.9000000000000004,1.7999999999999998,0.0
153,227,Truhn,30,8,7,4,4,7,0,30,camel-gpt4,2,8,9,7,9,7,0.0,0.0999999999999996,-1.7999999999999998,-1.9000000000000004,0.2999999999999998,0.0
154,330,Isabella,30,10,10,4,8,6,0,30,camel-gpt4,2,8,9,7,9,7,0.0,0.5999999999999996,-0.7999999999999998,0.0,-0.2999999999999998,0.0
155,442,Schneider,30,10,9,7,9,8,0,30,camel-gpt4,2,8,9,7,9,7,0.6999999999999993,1.4000000000000004,-0.2999999999999998,1.5,0.0999999999999996,0.0
156,522,Kather,30,9,9,4,8,7,0,30,camel-gpt4,2,8,9,7,9,7,1.7999999999999998,3.1,-1.2000000000000002,2.6,1.7000000000000002,0.0
157,27,Dyke,75,8,7,7,8,8,0,75,babyagi-gpt-4,2,9,10,7,8,8,-0.166666666666666,-0.5333333333333332,0.0999999999999996,0.9000000000000004,-0.0333333333333332,0.0
158,124,Clusmann,75,7,7,5,5,8,0,75,babyagi-gpt-4,2,9,10,7,8,8,1.0,2.7,1.2333333333333334,1.6,2.466666666666667,-0.0666666666666666
159,224,Truhn,75,9,8,4,5,7,0,75,babyagi-gpt-4,2,9,10,7,8,8,1.1333333333333335,1.5666666666666664,-0.2333333333333334,0.4333333333333335,-0.3666666666666662,0.0
160,328,Isabella,75,10,3,2,2,10,0,75,babyagi-gpt-4,2,9,10,7,8,8,1.2333333333333325,-3.333333333333333,-1.0666666666666669,-2.533333333333333,3.9,0.0
161,433,Schneider,75,9,9,7,7,8,0,75,babyagi-gpt-4,2,9,10,7,8,8,0.4333333333333335,1.9666666666666668,0.9333333333333336,0.7333333333333334,0.3666666666666662,-0.0666666666666666
162,525,Kather,75,7,5,5,4,4,0,75,babyagi-gpt-4,2,9,10,7,8,8,0.4666666666666668,0.7666666666666666,1.6,0.7666666666666666,-0.4000000000000003,0.0
163,28,Dyke,54,9,9,8,9,9,0,54,bard,2,9,10,8,9,9,0.5999999999999996,1.0999999999999996,0.7999999999999998,1.2000000000000002,0.4000000000000003,-0.3
164,130,Clusmann,54,9,9,9,8,7,0,54,bard,2,9,10,8,9,9,1.7272727272727275,2.8181818181818183,3.3636363636363638,2.1818181818181817,0.9090909090909092,-0.0909090909090909
165,225,Truhn,54,8,8,4,6,7,0,54,bard,2,9,10,8,9,9,0.0999999999999996,1.2999999999999998,-0.9000000000000004,0.2999999999999998,0.4000000000000003,0.0
166,326,Isabella,54,8,10,3,8,6,0,54,bard,2,9,10,8,9,9,-1.3000000000000007,1.4000000000000004,-0.3999999999999999,1.9000000000000004,0.4000000000000003,0.0
167,411,Schneider,54,7,9,8,8,9,0,54,bard,2,9,10,8,9,9,-1.875,0.375,0.5,0.5,0.375,-0.125
168,523,Kather,54,8,7,7,7,8,0,54,bard,2,9,10,8,9,9,1.0,0.7999999999999998,2.4000000000000004,1.9000000000000004,3.5,0.0
169,29,Dyke,6,6,8,7,7,8,0,6,llama-2-7b-chat,2,9,10,8,10,8,-2.4000000000000004,-0.5999999999999996,-0.4000000000000003,-0.7000000000000002,-0.3000000000000007,0.0
170,127,Clusmann,6,7,8,6,7,7,0,6,llama-2-7b-chat,2,9,10,8,10,8,-0.4000000000000003,0.2000000000000001,-0.2999999999999998,0.9000000000000004,0.5,0.0
171,222,Truhn,6,9,7,5,6,6,0,6,llama-2-7b-chat,2,9,10,8,10,8,1.0,0.4000000000000003,0.2000000000000001,0.7999999999999998,-1.2000000000000002,0.0
172,332,Isabella,6,8,8,4,8,6,0,6,llama-2-7b-chat,2,9,10,8,10,8,-1.5,-0.3000000000000007,-0.9000000000000004,0.7000000000000002,-0.5999999999999996,0.0
173,438,Schneider,6,10,8,7,7,8,0,6,llama-2-7b-chat,2,9,10,8,10,8,0.8000000000000007,0.5,0.5999999999999996,0.2999999999999998,0.4000000000000003,0.0
174,526,Kather,6,8,8,4,5,6,0,6,llama-2-7b-chat,2,9,10,8,10,8,1.4000000000000004,2.4000000000000004,-0.5999999999999996,0.4000000000000003,1.4000000000000004,0.0
175,30,Dyke,48,8,7,7,8,8,0,48,cot-gpt-4-manual-cot,2,9,9,7,8,8,-0.1999999999999993,-0.5999999999999996,-0.4000000000000003,0.4000000000000003,0.0,-0.1
176,123,Clusmann,48,7,8,4,6,8,0,48,cot-gpt-4-manual-cot,2,9,9,7,8,8,-0.2000000000000001,0.7999999999999998,-2.1,-0.2000000000000001,1.4000000000000004,0.0
177,226,Truhn,48,8,7,3,6,7,0,48,cot-gpt-4-manual-cot,2,9,9,7,8,8,-0.1999999999999993,0.0999999999999996,-1.9000000000000004,0.4000000000000003,-0.4000000000000003,0.0
178,331,Isabella,48,10,10,3,7,6,0,48,cot-gpt-4-manual-cot,2,9,9,7,8,8,0.3000000000000007,1.0999999999999996,-1.2000000000000002,-0.2000000000000001,-0.2000000000000001,0.0
179,414,Schneider,48,8,7,5,6,8,0,48,cot-gpt-4-manual-cot,2,9,9,7,8,8,-1.363636363636363,-0.8181818181818183,-1.9090909090909087,-1.636363636363637,-0.1818181818181816,0.0
180,531,Kather,48,8,6,5,6,6,0,48,cot-gpt-4-manual-cot,2,9,9,7,8,8,0.7999999999999998,0.7999999999999998,0.5,2.0,1.5999999999999996,0.0
181,31,Dyke,18,8,7,6,8,7,0,18,gpt-4,2,8,9,7,9,8,0.2999999999999998,-1.1999999999999993,-1.5999999999999996,-0.1999999999999993,-1.4000000000000004,-0.2
182,126,Clusmann,18,8,9,5,8,7,0,18,gpt-4,2,8,9,7,9,8,1.0,1.0999999999999996,-1.7000000000000002,1.2999999999999998,0.5,-0.1
183,231,Truhn,18,9,7,4,7,8,0,18,gpt-4,2,8,9,7,9,8,1.0,-0.2000000000000001,-1.2999999999999998,0.7999999999999998,0.7000000000000002,0.0
184,333,Isabella,18,10,10,3,9,6,0,18,gpt-4,2,8,9,7,9,8,0.3000000000000007,1.5999999999999996,-1.2999999999999998,1.2000000000000002,0.2999999999999998,0.0
185,469,Schneider,18,8,6,6,7,8,0,18,gpt-4,2,8,9,7,9,8,-1.0,-2.2727272727272734,-1.2727272727272725,-0.8181818181818183,-0.3636363636363633,-0.0909090909090909
186,527,Kather,18,7,7,6,5,5,0,18,gpt-4,2,8,9,7,9,8,-0.2999999999999998,0.9000000000000004,1.0,0.7000000000000002,0.4000000000000003,0.0
187,32,Dyke,63,7,8,8,7,7,0,63,babyagi-gpt-4,2,8,9,7,9,7,-1.166666666666666,0.4666666666666668,1.0999999999999996,-0.0999999999999996,-1.0333333333333332,0.0
188,125,Clusmann,63,6,4,2,2,6,0,63,babyagi-gpt-4,2,8,9,7,9,7,0.0,-0.2999999999999998,-1.7666666666666666,-1.4,0.4666666666666668,-0.0666666666666666
189,230,Truhn,63,7,4,2,2,6,0,63,babyagi-gpt-4,2,8,9,7,9,7,-0.8666666666666663,-2.4333333333333336,-2.2333333333333334,-2.5666666666666664,-1.3666666666666665,0.0
190,329,Isabella,63,7,3,1,1,7,0,63,babyagi-gpt-4,2,8,9,7,9,7,-1.7666666666666675,-3.333333333333333,-2.066666666666667,-3.533333333333333,0.9000000000000004,0.0
